name,photo,location,rate,title,text
Tom Fellers,NO photo,US,1 star: Bad,Good luck getting any refund,Good luck getting any refund.  They asked over 50 questions and still havent refunded my money. DropBox charged me multiple times AFTER I canceled my membership and they will drive you crazy by asking the same question over and over. Then theyll pass you to another expert who will ask you those same questions over and over until you give up. Such a scam.
Kim,NO photo,LV,2 stars: Poor,Last years they made worst functional,Last years they made worst functional. Even uploading picture to dropbox with Android makes big big trouble.   And making phone lacking resources. Normal clean phone 6Gb ram 128Gb storage.
Jason Harrelson,https://userimages.trustpilot.com/5ac4d3464de5666d34b26c9b/73x73.png,US,1 star: Bad,Dropbox was so easy years ago,Dropbox was so easy years ago. Now I have no option to upload a file without backing up my entire computer This is a complete waste of time. It would be faster to plug in a usb drive and transfer the files physically. Im not seeing the value here anymore.
T Grant,NO photo,GB,1 star: Bad,Do not trust. A Ransomeware trap in Google clothing.,Thought this app might be helpful but it is not what I need at all. It is far too complicated and it can delete files on your computer if you delete them in Dropbox. The chat lines are far too slow and there is no help as to how to uninstall the app without losing data anywhere on the Dropbox site. Furthermore after saying it would restore my Desktop icons to their original positions it jumbled them up and left them.This is as good as walking into a ransomware trap. AVOID at all costs.Also my fast computer has turned into a slug.
James landels,NO photo,GB,1 star: Bad,literally the worst system I have ever,literally the worst system I have ever come across in my life. weeks of distress and anxiety. I was tasked with uploading same test results onto drop box for work and so i downloaded it. somehow i inadvertently ticked a box that moved the entire contents of my computer onto the cloud while using twice the disk space I woke up in the morning and the only folder left on my computer in my USB stick. I followed online tutorials in order to restore my computer and it turns out that although all the files were gone from my computer I only had a basic package and my whole hard drive was stuck in syncing because i only had 2GB of space. I then had to download premium 199 just so i could sync the files in order to retrieve them from the cloud. once i managed to get the files back onto my computer Via a dropbox folder not on my HDD all the test results were disbursed into folders with names like 9BC875648 and i had to search for each one of 1120 results manually by date. this has taken 10 days. now that i have uploaded the files i am scared to uninstall incase it removes the files again and i have to start over. I have no idea how to get my files back into my HDD and uninstall. the support are no help. I wish i has never downloaded in the first place.
Gabriele De Sanctis,https://userimages.trustpilot.com/6002fcc5b391340019680c63/73x73.png,IT,5 stars: Excellent,Ottimo servizio,Ottimo servizio con un piano gratuito per tutti.Con questo link:https://www. dropbox .com/l/AABkYsH3iJwUJDAMH78VKFrGcQHjDERimuovete gli spazi prima affianco a dropboxriceverete 500MB A VITA in pi sul conto:
Jordan Giffen,NO photo,CA,1 star: Bad,F this,F this Its infuriating Stay far away. It just slows down your computer by constantly uploading anything without a prompt or permission. There is no way to acess the setting for this that I can find before they scan your entire computer and then ask you for money.
Sondoos Shehnah,NO photo,AU,1 star: Bad,Dropbox is a Scam,Dropbox is awful If you subscribe to a Free Trial that supposedly can be cancelled before youre billed you cannot cancel it. I tried chatting with them online sending them emails etc. Theyre not helping and apparently they are unable to cancel it even though I subscribed through their website. If that happens to you I suggest you report your credit/ debit card lost and get a new one to prevent the transaction from going through to Dropbox once Free Trial is over.
Lars Becker,NO photo,DE,1 star: Bad,Keine Kndigung des Abo mglich,Es besteht bei Dropbox keine Mglichkeit das Abo zu kndigen. Smtliche Anfrage zur Untersttzung sowie  Mailes mit Dropbox laufen ins Leere.Jegliche telefonische oder per Mail Kontaktversuche scheitern. Doch Gebhren werden trotz Kndigung per Mail nicht angenommen.VorsichtIch hoffe dass mein Text auch von Dropbox gelesen wird und diese nun Kontakt zu mir aufnehmen.Lars Becker
Noreen Ahmad,NO photo,GB,1 star: Bad,They are scammers,They are scammers. No means of contacting them and they just keep taking money out of my account. Do not sign up.
Neil Cooper,NO photo,GB,1 star: Bad,You cant contact them,You get priority email support with some plans but its not possible to email them. Crooks
Abdul,NO photo,GB,5 stars: Excellent,Great support on twitter,Great support on twitter I dmed their support about HelloSign and they promptly replied with help.
Andrew Todd,https://userimages.trustpilot.com/5d5ffadd7fae1a219e244a60/73x73.png,GB,1 star: Bad,Drop Box charge scam by Drop Box,Drop Box will be history. They are corrupt. Their practice of charging you 12 months and 3 licences rather than the one licence and or 3 licences and explaining that its the minimum amount and declaring the full amount upfront is amazing. Its then impossible to speak to anyone and its impossible to get a refund. So when you cancel they then delete all your data which you have had on the basic service. The cancellation then confirms you wont be charged in 12 months time but they wont refund you. The refund page on their site just wont connect the chat box cant deal with it and the automated call services to get someone to call is the same. You receive an automated call you are put on hold for 10 minutes and cut off. You then receive an email stating they couldnt hear you. Ive used landline and two different mobiles. So its their avoidance strategy. Of course there is information on Google about it. I should of looked and checked first. So Be Aware .
Metall Andrei,NO photo,RO,1 star: Bad,Its just a scam site now,My 1year subscription account was blocked with no warning after 1 month and support wont answer after 2 weeks. My tickets just get closed with no response.At this point i will just contact my bank and issue a chargeback and screw this scammers
Pei Zhang,NO photo,US,1 star: Bad,Both drop box personal and business are not safe for saving data,Both drop box personal and business are not secure. I have lost my important personal data and business data. And I saw form the dialog box that my data was deleted while I was offline and nothing I can do to stop it. The customer service of dropbox is super pool. They dont help you to solve the issue but ask you to upload lots of document and eventually nothing change at all. Eventually I have to transfer my data all to somewhere else and completely delete the account to make sure others not stole my data.
DC,NO photo,GB,1 star: Bad,Terrible experience with basic free,Terrible experience with basic free account. Syncing process made my average spec PC run slow for hours. Afterwards opening some but not all files and folders on PC was blocked. When using dropbox got constant annoying popup. On uninstalling it made a mess of the documents folder and removed all desktop shortcuts. Still not sure if all my files are where they should be. Would advise backing up files somewhere else before using if you want to risk it.
Jrg Mckner,NO photo,DE,1 star: Bad,Ein gute Anwendung kaputt gemacht,Ein gute Anwendung furchtbar verschlimmbessert. Nutzte Dropbox seit vielen Jahren aber jetzt ist Schluss.  Ein gute Anwendung furchtbar verschlimmbessert. Warum wird pltzlich meine privates Windowsverzeichis unverschlsselt hochgeladen. 2 TB PLatz und schon bei 18 GB arbeitet der Rechner nur noch fr Dropbox.
Dale Gremillion,https://userimages.trustpilot.com/5ef6e22ba735507b9d5fd6b3/73x73.png,US,1 star: Bad,completely worthless....,completely worthless..... you cant get a human to respond and cant get a phone number to call anyone... how in the world do you run a company when you cant get a hold of anyone
Erin Long MA LMHC,NO photo,US,1 star: Bad,I was charged over 200 for some,I was charged over 200 for some reason then again 82.80 and have no idea what for. I still only have  2GB of storage Then it would not let me cancel
Elliot,NO photo,GB,2 stars: Poor,Works well but tutorials are very poor,Works well but tutorials are very poor. They are full of promotions but lack explanations of what is happening. Confusing.
Steve,NO photo,US,1 star: Bad,Dropbox extorted us to go to their paid,Dropbox extorted us to go to their paid version and then lied about supporting Linux.  They are engaging in false advertising.  Maybe some state attorneys could get involved to clean them up.
Hector Agustin Lana,https://userimages.trustpilot.com/60114846c8b4d90019b0065a/73x73.png,ES,1 star: Bad,lento,lento malo y caro
Ts Ss,NO photo,NZ,1 star: Bad,SCAM BEWARE,SCAM BEWARE. Drop box offer free trials then charge you and continue charging despite you having cancelled. In my case I signed up with a debit card and am somehow being charged via Google
Robert Kotula,https://userimages.trustpilot.com/5a57fadf0000ff000affda8b/73x73.png,GB,1 star: Bad,Premium to access a shared file WHY,A friend has shared a file with me on Dropbox which is 7GB and due to their stupid policy it doesnt allow me to access the file. It says I need to upgrade my account to the 2000GB version to be able to access the folder as Ive not got enough space. As an IT professional I find this disgraceful. Accessing a file doesnt mean you have to double the space it takes. As my friend already has a Premium Dropbox why should I PAY to access a file that HE SHARED.
Alan Gordon,NO photo,GB,1 star: Bad,Throwing old devices off an old,Throwing old devices off an old account what a thoroughly unprofessional and disreputable disgrace of a company I have been recommending you to dozens and dozens of new users over the years and then you do the dirty on me and limit my account what an evil corporation you have turned out to be Not recommended save your soul and stress and go elsewhere
Mrs b,NO photo,GB,1 star: Bad,Locked out of all my stuff forever and,Locked out of all my stuff forever and they dont respond to support tickets. I assume they need me to pay thousands to become a business customer then they will suddenly care Pretty messed up since they advertise as being a safe backup. Not very safe now my files lost forever is it smh
Willem,NO photo,NL,1 star: Bad,Webversie is verschrikkelijk.,NO COMMENT BODY
Dirk Van Roosbroeck,NO photo,BE,1 star: Bad,Dropbox is waardeloos,Dropbox is waardeloos. Ik wou enkel opslagruimte en krijg een boeltje ongevraagde functionaliteiten. Synchroniseert niet correct op verschillende apparaten files zijn niet beschikbaar en kan files niet downloaden omdat er onvoldoende vrije ruimte op het apparaat is. Ik dacht dat ik juist daarvoor een Dropbox contract nam. Op zoek naar een betere oplossing.
Kunde,NO photo,DE,3 stars: Average,Mir wurde trotz angebotenen 2 Wochen,Mir wurde trotz angebotenen 2 Wochen gratis sofort die Gebhren angezogen. Ich hatte noch am selben Tag wieder gekndigt...das ist unlauter.Update:Ich habe mich per Chat mit dem Kundendienst in Verbindung gesetzt und innerhalb von Minuten wurde mein Problem gelst. Dafr ein dickes Daumenhoch
Abbas Seyedmohammadi,https://userimages.trustpilot.com/5fff557da9650c0019587613/73x73.png,US,3 stars: Average,Really good space for my files ....,NO COMMENT BODY
Boonkid Jackson,https://userimages.trustpilot.com/6003fd51e21093001a901163/73x73.png,DE,1 star: Bad,Unfhig und fehlerhaft,Fehlerhaft  kein Service  unfhig amerikanisches Unternehmen Finger weg
Chr. Boddum,NO photo,DK,1 star: Bad,Dropbox har trukket 750 for en,Dropbox har trukket 750 for en business pakke jeg ikke har kbt eller bestilt jeg bruger basis pakken og har kun brugt 125 Mb plads. Det er serist bondefangeri og skal jeg prve om jeg kan f afblst kbet i hb om at redde nogle af mine dyrebare midler. Jeg har sprret mit masterkort for en sikerheds skyld. Det her skal i holde jer langt fra
Mari,NO photo,FI,1 star: Bad,Total scam,Saved my files and returned them empty. All I have to do now is kill my credit card...
jean luc marcenac,NO photo,FR,1 star: Bad,nettoyage par le vide,OK  restons poli : vous avez envie de perdre tous vos documents  vos telechargements  semer la pagaille la plus complte dans votre ordi  alors n hesitez plus telechargez ce logiciel inutile  il va se charger du travail  en quelques minutes vous aurez tout perdu  mais peut tre en payant vous pourrez recuperer quelques miette Merci dropbox  avec un nom pareil  pas tonant ...
Peter Cramer,https://userimages.trustpilot.com/5cbc5f3b61906a21d601583c/73x73.png,AU,1 star: Bad,Drop Box  Corporate Fraud,They will trick you into an upfront annual subscription and then disappear when you attempt to dispute it. They are simply the most unethical company you will ever deal with.
Bob Bennett,NO photo,US,1 star: Bad,Dropbox proves itself to be unreliable,I have subscribed to Dropbox since they first appeared on the scene. I recommended them to many and although there have been some bumps they seemed to have worked them out. However in the past couple of years and weeks they have pulled the biggest blunder and turned me against them. A little more than 3 years ago I helped test and then they introduced showcase and since I helped test I was told I wouldnt have to pay the premium I was a Plus subscriber. A few months later they charged my account for Pro anyway and wouldnt back down on it. But theyd gotten me using Showcase and publishing links to it so I had to let them.So theyve been charging me double the price agreed to for about two years now but Id published the Showcase links to multiple organizations so it would cause a lot of work and embarrassment to pull them back or change them so I stayed. So now Dropbox completely drops Showcase with only a few weeks notice. They refuse to even grandfather the existing links and pages and also said they cant refund the extra charge for the Pro but theyve added premium features useless to me. When I do downgrade the price of the Plus plan has been cranked during this time so that will cost more also. While the unannounced and unexpected extra charges were bad enough the real problem is that they have now shown themselves to be unreliable and thats the worst part. As a paying subscriber I used features they promoted in a way that they promoted them to be used paid for the features then they dropped them with little notice. Very sad for the company. I think theyll be going out of business with such practices and Ill be looking for other services now.
Greg Bradley,NO photo,US,1 star: Bad,Terrible software,Terrible software not user friendly terrible to try and get money back.
Monica,NO photo,GB,4 stars: Great,great app and interface with good ideas,great app and interface with good ideas and useful tools. just find some times can be a little glitchy here and there
Celeste Isabel,NO photo,DK,1 star: Bad,Signed up for a free trial and 2 months,Signed up for a free trial and 2 months later checked my bank account and 115 euro had been taken.
Henrik Stougaard Nielsen,https://userimages.trustpilot.com/4db6bcaa0000640001081023/73x73.png,DK,3 stars: Average,I used Dropbox when it first launched,I used Dropbox when it first launched and was the first real innovator in the cloud storage market that has emerged since. Suddenly their focus changed to a enterprise focus and their prices skyrocketed. I then immediately changed to something better a decade ago. Their service now seems to be much better than the alternatives  although it is a shame how plans are immediately downgraded when you cancel them  and they are still too expensive.
Nasser AlIsmaily,https://userimages.trustpilot.com/5ff03403c690ee00199981cb/73x73.png,OM,1 star: Bad,I was relying on dropbox for my photos,I was relying on dropbox for my photos until one day the entire folder was goneWhen I contacted customer service to enquire on chat they wont even listen to what I was saying they only insisted that its not their fault. No matter what I said they just wont have it.So yea no more dropbox for me never
helen chung,NO photo,US,1 star: Bad,Dropbox customer service used to be,Dropbox customer service used to be available at least 48 hrs after you wrote to them via creating a ticket. Now there is absolutely no support to contact you have to spend hours reading irrelevant feeds to answer your question and still not find a solution that only the dropbox techs should know to answer. Their support basically doesnt exist except for the paid users. The files are not syncing as they should in btwn 2 computers and I even had a case where two files that were going to two different people got crossed. Thats unacceptable malfunction The community help is a waste of time unless you have simple questions. They should have the kind of support which was pretty minimal available again. Its a shame Im going to look for other transfering app as it costs less to have our own external HDs for disc space.
LE,https://userimages.trustpilot.com/5dbb2509f901d3022300624d/73x73.png,US,1 star: Bad,Paid a year up front for a,Paid a year upfront for a subscription. Found it did not meet my needs a few days later. Closed account. Dropbox has refused to refund and gone out of their way to manipulate the refund via PayPal to then make it hard to open a chargeback. Im contacting my bank to push this chargeback through today.ps contacting their support is hard by design. They dont want to help.
Chris Wayne,NO photo,US,4 stars: Great,Easy for data keeping,NO COMMENT BODY
Mr Tim Harrison,NO photo,GB,1 star: Bad,Avoid at all costs,Ive lost all of my documents from my desktop thanks to Dropbox. And most of them were not on Dropbox despite having been backed up. Many of the folders on Dropbox were empty Ive spent hours trying to reinstate my machine. There are project files missing which cannot be replaced and will cost me dearly in missed work opportunities. I cant express enough how much I hate and despise this company. Once its on your hard drive Dropbox never lets go of your files. I have closed my paid for account but it remains to be seen if they stop taking payments. How on earth does this company still exist
Terry,https://userimages.trustpilot.com/5a34e8af0000ff000af1e281/73x73.png,GB,1 star: Bad,Mediocre,Very expensive for what you get. The business plans are borderline scams. The upload is VERY unreliable for people with slow internet connection on my team. Including VAT they wanted to charge around 2000/year for my small team to use the service for the most basic business model. Go to cloud and get a better service for 5 of the cost. Please do it.
kathy,NO photo,GB,1 star: Bad,Terrible,Terrible Dont do the free trial its not free. They make it impossibly hard to cancel so you cant get the money back.Total scam
customer,NO photo,ZA,2 stars: Poor,I used to love Dropbox,I used to love Dropbox recommended it to everyone then suddenly my photos werent uploading. I got all sorts of explanations from the Help desk but nothing that worked. Im downloading everything today and closing my account. I have lost some priceless photos.
DieMeckerbox,https://userimages.trustpilot.com/5b7890dd4de5666d340288d8/73x73.png,DE,2 stars: Poor,War mal 1a jetzt voll die Bloatware,War mal 1a. Sync und Speichern immer noch.Der ganze Firmenfanz h Firlefanz brauch kein normaler Anwender. Warum nicht 2 appsEine Schrott und Gammelpp fr die Hobbynehmer und eine Anwendung fr die Normaljuhser Vielleicht wurde Dropbox ja von nem deutschem Unternehmen aufgekauft Und deswegen kann man kein Indernett mehr Naja zum Backuppen: gibt es backblaze fr nen fuffi im Jahr  und zum Clouden hat man mit Gdrive ja genug mglichkeiten fr Wenig geld.
Frog My,NO photo,GB,1 star: Bad,Outrageous,Outrageous Ive cancelled my account since May still being charged and have  everything even dejecting the account. Nothing seems to work Never had a problem cancelling subscription before l
Roy Sanders,NO photo,US,1 star: Bad,I wish I had never heard of Dropbox,I wish I had never heard of Dropbox. I downloaded it to receive files from my software company. Automatically synced my entire computer and all of my documents disappeared. They are not on my computer or dropbox. Has messed with all of my companies software and been a complete nightmare. Support keeps giving me the runaround. Complete trash program. It has been 2 days and I still do not have any of my files.
Sue Foster,NO photo,CA,1 star: Bad,No customer service,The customer service is truly nonexistent. I paid monthly for a Pro account but was only able to sign into a Basic account. I tried numerous times to get help and spoke to some nice people  who couldnt help me as they didnt work in that department. Every time I signed in I showed as a Basic account which gets me zero support. I cant even cancel the account that I am paying for...
Rachael Evans,NO photo,GB,1 star: Bad,They auto renew without notification,They auto renew without notification and charged 20 more than the advertised rive. When I contacted support about it they told me that they cannot help as they only do technical support and its against policy.I have an Microsoft 365 account with 1TB of storage time to migrate and walk away from this crowd.
Ginger,NO photo,US,1 star: Bad,I have used Dropbox for years,I have used Dropbox for years.  It used to be great with quick customer support.  Recently I reset my computer and installed the app again.  I was shocked when I saw a message that I had gone from 1 TB to 2 TB over night.  I searched for solutions on their website but couldnt find anything so I emailed customer support for help only to get a copy and paste of the exact same instructions I told them I had already followed to no avail.  I  emailed Dropbox again over 24 hours  still nothing.  After my experience  reading the other recent complaints Im canceling.
Martin,NO photo,DK,1 star: Bad,Havde kbt abonnement til hele ret..,Havde kbt abonnement til hele ret men da jeg opsagde det for ikke at glemme at gre det senere blev mit account nedgraderet med det samme  selvom jeg har betalt for 1 r
Joseph Whatley,NO photo,US,1 star: Bad,There is no live support and they do,There is no live support and they do NOT care to get you held on the chat line.Fill in a ticket and wait. So your busines had better not be on hold cause it drags out.................
Hlmfrur Jnsdttir,NO photo,IS,1 star: Bad,Tricked me into paying 199 GBP,They kind of tricked me into paying 199 GBP just because I wanted to see several photos that were sent to me from Dropbox because I had to sign up for a Professional account to be able to do it. Oh yes they sent me 1 reminder over a week before they charged me so theyre in full right of course to charge me but they make it very difficult to find out on their website how to cancel the subscription so I ended up paying 199 GBP  Dropbox is definitely not the company it used to be stay away
Zach Klebaner,https://userimages.trustpilot.com/5fcf4af63733350019f35832/73x73.png,US,1 star: Bad,Cancerous Free Trial,I have been asked to write a constructive review free of swearing. Here is my attempt: Dropbox is a load of bull excrement delivered directly to you by Satan himself. If you should find yourself tempted or accidentally harangued into a free trial please run away because it may very well turn into a series of purchases that you will never notice until youre out of 80 dollars. Dropbox uses sly marketing that drains you of your funds unknowingly. I do not trust Dropbox and would fully recommend you stay away from them.
Brad J.,NO photo,DE,1 star: Bad,Dropbox backup  pathetic lie,I remember when Dropbox was easy and intuitive sync servicenow it is turned into terrific UX nightmare There are floating windows ads push messages for everything. Its overkillbut most important  I was lured by their ads and decided to try their backup computer  option for my Mac....well its turned out its a classic sync both direction so forget for backup for just 3 system folders such as Documents Downloads and Desktopwhat exactly backup is that Thats just a normal sync but you dont need to drag your files to the Dropbox folderhow pathetic is that calling this computer backupIf you have to use such a backup aka sync you better go with another provider  for example pCloud gives you the option to sync ANY folder from your computer not just preselected 3 folders...also you dont need to move anything you want to sync to dedicated folder..
Robert. Devon,NO photo,GB,1 star: Bad,Would rather give my money to charity than to this lot.,It was only when I received a notification that I had to enter a new credit card to pay for the monthly subscription that I realised I was paying nearly 120 a year for this. When I tried to take files out of DropBox none would play. What is the use of imprisoning files in DropBox and pay 120 quid for the privilege I would rather give the money to charity than feed another big company with more money  like Apple. Postscript: I have deleted the Dropbox app because I noticed my laptop battery was running down fast and when I clicked on the battery icon it said DropBox was the culprit. I have read this from other people as well. My iPad was also running down faster than ever so all DropBox apps have been deleted from all my four devices.
Thomas Nex,NO photo,DK,2 stars: Poor,Plejede at elske dropbox men det er begyndt at g ned af bakke.,Dropbox er alt for dyre. Hvad sker der for den mindste betalte pakke man kan vlge er 2.000 GB for 11.99 / 9.99  pr mned. Jeg ville nske at der ligesom hos google drev var mindre pakker for frre penge. Jeg elsker mit 100 GB for 228  pr mned.Derudover bruger jeg mange enheder. jeg har en mobil og 3 PCer. Jeg har mtte fjerne min mobil da man pludselig ikke kunne have s mange enheder koblet til.Hvis google drev havde vret bedre p PC s havde jeg brugt det. Det er her dropbox er go i at deres mappe og synkronisering fungere rigtig godt i mine jne. Men dog synes jeg ikke de fortjener mere end 2 stjerner grundet de drlige pakkelsninger og enhedsproblemet
Claire Lakin,NO photo,GB,1 star: Bad,Terrible signed up to a free trail but,Terrible signed up to a free trail but never found it was worth the money for saving music off line. Had a cancellation request for over an hour I tried to cancel but there is nowhere for you to do this even via iTunes.Im hoping that by cancelling it via my PayPal works just a con.
Eric,NO photo,DK,1 star: Bad,ELENDIGT MG ..,ELENDIGT MG ... har brugt DB i mange r og det har spillet max. Men med den nyeste update har jeg oplevet s mange problemer med at bruge det som vrktj i min daglige produktion.Selv p en 200/200 forbindelse er det som at arbejde med et ISDN modem. Prewiew af f.eks. fotos tager 2 kopper kaffe og en halv formiddag..Det kan jeg ikke leve med  skifter platform s snart jeg har fundet et godt alternativ
Andr Juego del Muchacho,https://userimages.trustpilot.com/5ec82aa9c66da358238bc84d/73x73.png,DE,1 star: Bad,Unterste Schublade,Unterste Schublade der Verein versteht seine eigenen AGBs nicht und kann diese nicht erfllen. Der Support besteht aus Inkompetenten Mitarbeiter
Ozay Yildirim,https://userimages.trustpilot.com/5fc0fdbe7f35f4001c72e285/73x73.png,GB,1 star: Bad,Keep away from this company its better,Keep away from this company its better to have your file on 3tb hard drive instead of paying money for them for nothing .they using your pc space so whats the point using dropbox if i cant use their cloud
TB,NO photo,DE,1 star: Bad,Finger weg,Der Support ist unterirdisch schlecht. Es dauert ewig. Probleme werden nicht verstanden und die Lsungen machen tatschlich eher das Problem schlechter. Selten einen so schlechten Kundenservice erlebt
Freddy Mller,https://userimages.trustpilot.com/4eb940e300006400010e3afe/73x73.png,DK,5 stars: Excellent,Bruger Dropbox dagligt uden problemer.,NO COMMENT BODY
Gilles Delay,NO photo,CA,1 star: Bad,Dropbox is bad for your computer,Dropbox is bad for your computer It locks multiple files on your computer when you want to take a file out of dropbox it does not allow you to do it. If  you take the file out of dropbox the only option is delete the file out of your computer it does not allow to save this file anywhere on your computer  Once it is in dropbox you are in trouble
Vennessa Hood,NO photo,US,5 stars: Excellent,Dropbox is one app thats always on my,Dropbox is one app thats always on my phone. Despite the limitations I have been using for Dropbox for years and its been a savior especially when I format my PC or phone.
Peter Gogesch,NO photo,DE,1 star: Bad,Dropbox  Parasit,Ich habe Dropbox heruntergeladen und mit Documents und Downloads synchronisiert. Dadurch konnte ich ber andere Programme nicht mehr auf meine Dateien zugreifen. Das Problem hatten auch viele andere aber von DropBox wird keine funktionierende Lsung bereitgestellt. Und wenn du dein DropBox Konto lschst werden auch alle deine Dateien gelscht. Das ist also keine Option. Pausenlos wirst du dazu gedrngt zum PremiumKonto upzugraden. Ich habe es jetzt grtenteils wieder gefixt bekommen aber trotzdem gibt es noch Probleme.Ich habe DropBox inzwischen deinstalliert aber trotzdem: Ihr werdet es nie wieder komplett los.
Katie Nelson,NO photo,US,1 star: Bad,Their customer service is a farce,Their customer service is a farce. They send useless emails once a day just to say they respond within 24 hours and then say they cant help you because they dont know when or if the issue will be fixed. In the meantime I cant use my dropbox to share files the whole point of having the service.
Bryan Carey,https://userimages.trustpilot.com/5fb41f3f41c6ee001a1d694d/73x73.png,US,1 star: Bad,Dropbox initially seemed like a good,Dropbox initially seemed like a good app.  4 years in... I regret having started.  Not user friendly anymore cost went up and good luck getting a receipt for Dropbox charge if you need one for a business receipt.  They have a good propaganda machine to keep their review stars up there.  My advice from 4 years of use is to avoid this product entirely.
Judith mimray,NO photo,GB,1 star: Bad,Its rubbish not worth the hassle,Its rubbish not worth the hassle rubbish service
Thger TS,NO photo,DK,2 stars: Poor,WAY too expensive,Works great when it acutally works. Great for storing photos and having backups. But its WAY too expensive Why is the smallest plan for 2TB of storage I decided to change to google drive instead where I pay less than a third of the price to still have enough storage. Why not offer smaller plans as well
Sutaner,NO photo,DE,1 star: Bad,Sehr schlecht Qualittsverlust der Dateien durch Hochladen,Sehr schlechtBeim Hochladen verschlechtert sich die Qualitt der Dateien bis zur Unleserlichkeit.
Shawn Right,NO photo,NO,1 star: Bad,Stay away if your business is based in,Stay away if your business is based in Europe. Their customer service is shambolic and miles away from the service European companies expect and deserve. Their product is good when it actually works but there are numerous examples online of multibillion dollar companies loosing data due to Dropbox. Find another supplier or use your own infrastructure
Stephen Dowson,NO photo,GB,1 star: Bad,Lousy useless company just not worth,Lousy useless company just not worth the hassle
Charles Stanish,https://userimages.trustpilot.com/5fa421b8746deb00193daca8/73x73.png,US,1 star: Bad,Questionable billing and lack of support,I found out that I have been charged for this service for at least two years probably more.  I signed up five years ago and am certain that I cancelled.  It is impossible to verify that you cancelled the service after you cancel.  You have to have open an account to have a live chat. Once you do that you may trigger the activation of a paid account again.  Before I cancelled again they sent me to a web site that does not have the cancel option claiming that you must have opened on a mobile app. That was certainly not true to the best of my knowledge.  I am not quite claiming fraudulent business practices but I would stay away from this company.  BTW even if you cancel your cc with them the cc company will accept your old card because they are an established business. You have to put a merchant block on DB to prevent being charged in the future.
