name,photo,location,rate,title,text
Md. Abu Taher,https://userimages.trustpilot.com/5dcaff0de71f3355510946aa/73x73.png,BD,4 stars: Great,Its almost the standard,Good Points: Been using github for so many years. Its almost the standard for git. Now they added package registry and actions as well. Super useful.Bad points: The slow internet speed sometimes with aws cache in my region. It becomes super slow even with some npm install command imagine 1KB/s. Sometimes I feel if the collaborator limit was 5 people rather than three it would be awesome. Because sometimes 3 people is not enough for some small homework.
Alex,NO photo,CA,1 star: Bad,Not experiencing good customer support with Github,We have an organization account on GitHub. I made a ticket for my issue on GitHub. But either they dont reply or their reply is not helpful. The person answering me probably doesnt know how to fix our issue. They dont have a phone number that we can call.Our problem is not fixed after a month.If customer service matters to your business we recommend you to avoid GitHub.
Larry Jameson,NO photo,US,4 stars: Great,Nice,Use it more that 3 years.
Rick,NO photo,US,4 stars: Great,Great way to manage code.little,Great way to manage code.little complicated at first. I wish they have better way to simplify it. Make no sense to address issue like read me file I have to use code for it
Alex,https://userimages.trustpilot.com/5d287d941cd7aa41486e398e/73x73.png,DE,5 stars: Excellent,fine,Everything is fine
AquaZet,https://userimages.trustpilot.com/5ca5e8e366d61a88b486ea6b/73x73.png,GR,5 stars: Excellent,Works fine for me,Works fine for meCurrently it is very fine for me even if it is overdetailed.If anything bad happens i will update this
Matthew,NO photo,PL,1 star: Bad,Bad for what its supposed to do better just move to other solution,Support does not even care about this platform 8 days with no response i wasted 2 hours setting up my account and uploading my code to see that Account is suspended and that is not first time i had bad experiences with their support before i once saw ransomware in some random project and support claimed that there is nothing wrong with reported link.
Yaln,NO photo,TR,5 stars: Excellent,ak kaynak yazlm gelitirmek iin,ak kaynak yazlm gelitirmek iin gelmi gemi en iyi platform
Aseem Mhasalkar,https://userimages.trustpilot.com/5bf3ef6c5483f4b8a933c96f/73x73.png,IN,5 stars: Excellent,Great place for coders,Great place for coders. Plenty of public projects to check out and learn something. If you work as a programmer the subscription is no problem.
Coduz,NO photo,IT,5 stars: Excellent,Source version control made good,NO COMMENT BODY
Peter Murer,https://userimages.trustpilot.com/5a0ee6480000ff000ae3bca6/73x73.png,AU,5 stars: Excellent,Great site and essential for many,Great site and essential for many people.
Steve,NO photo,US,5 stars: Excellent,Essential environment for sharing code,Essential environment for sharing code and work projects.  I really wasnt much of a user initially.  Posting a bit of code troubleshooting with distributed teams and learning some more python through others lol.  Key was when a Silicon Valley company asked for me to send my github account as part of my application for a project.  It now is really a must have.
Ed,https://userimages.trustpilot.com/5b9780a94de5666d34bffeec/73x73.png,SI,5 stars: Excellent,Best git repo hosting service ever,NO COMMENT BODY
Richard Jasmin,https://userimages.trustpilot.com/5970fb480000ff000ab1b877/73x73.png,US,3 stars: Average,why did they have to sellout to mft,why did they have to sellout to mftcustom UI on GIT and subversion repos is wonderful. wish theyd open source THAT...webhosting via jekyll neeeds to be banned tho. the repos are for code not web hosting.
Arcenas 090,https://userimages.trustpilot.com/5a8cf530f675864e56050c6c/73x73.png,PH,5 stars: Excellent,Developing with Fun,Github is the best place to make your open source projectsGithub also have the heart to provide a free plan for students with much more better feature :Github rocks and its really fun to code there
Chiru,NO photo,GB,5 stars: Excellent,Cant live without GitHub,Cant live without GitHubHonestly programming will never be the same without GitHub
Mohash,NO photo,EG,5 stars: Excellent,Helps programmers all over the world ,NO COMMENT BODY
Lorenzo Fiocco,https://userimages.trustpilot.com/5a207f300000ff000aea24e4/73x73.png,IT,5 stars: Excellent,Condividi il tuo codice con il mondo,Sito immancabile per uno sviluppatore. Permette di condividere i propri codici con tutta la community di GitHub e non solo. Inoltre supporta anche la possibilit di creare organizzazioni di sviluppatori per lavorare a uno o pi codici sorgente.
A customer,NO photo,GB,5 stars: Excellent,Great system.,Great system.Works.
nathan,NO photo,GB,5 stars: Excellent,best guys ever,best guys ever even gave me free swag
Parvati Juka,https://userimages.trustpilot.com/5a2e87ac0000ff000aef5bc9/73x73.png,US,5 stars: Excellent,There is no such websites as Github in ,There is no such websites as Github in the world. It let us find projects which we would spend building for months.
Les,NO photo,US,5 stars: Excellent,5 stars all the way.,NO COMMENT BODY
John Evern,https://userimages.trustpilot.com/59c372990000ff000acbc97c/73x73.png,AU,5 stars: Excellent,If youre just starting out with a ,If youre just starting out with a professional programming  this is the most important source of knowledge. You can also store and share your projects with your team.
Nil Parra,NO photo,FR,5 stars: Excellent,Parfait depuis des annes,Parfait depuis des annes. Jhberge mes projets privs et publiques.
Ash,NO photo,US,5 stars: Excellent,A service that helped me multiple times ,A service that helped me multiple times on my studies  you reaaly can find some complicated things there and they even have comments sometimes / No matter what  it really helped to resolve some problems with the tasks I received.
Mark Leci,NO photo,CA,5 stars: Excellent,Giving 5 stars over 4 because Github ,Giving 5 stars over 4 because Github switched to unlimited private repositories for a fixed fee. That makes me think they listened to their user base and adjusted and that is the sign of a competent company. A plus
htczed,NO photo,BA,4 stars: Great,Gotta get GIT,I have thoroughly enjoyed using this website on many occasions and had no problems whatsoever Im giving it a 4 because theres other websites that are more than just GitHubs great design and decent functions Id prefer to have more functionality than beauty in this case.
Smooth,https://userimages.trustpilot.com/582e54150000ff000a588021/73x73.png,US,4 stars: Great,A good one,A good site to store and edit your projects and moreover get help with some parts. I recommend
Karl Dieter,https://userimages.trustpilot.com/5659f58a0000ff0001ee6df0/73x73.png,US,5 stars: Excellent,Continued innovation,this organization is remarkable and provide a remarkably value driven freemium product
